,userid
639,sco
640,sco
641,sco
642,sco
643,sco
644,sco
645,sco
646,sco
647,sco
648,sco
649,sco
650,sco
651,sco
652,sco
653,sco
654,sco
655,sco
656,sco
657,sco
658,sco
659,sco
660,sco
661,sco
662,sco
663,sco
664,sco
665,sco
666,sco
667,sco
668,sco
669,sco
670,sco
671,sco
672,sco
673,sco
674,sco
675,sco
676,sco
677,sco
678,sco
679,sco
680,sco
681,sco
682,sco
683,sco
684,sco
685,sco
686,sco
687,sco
688,sco
689,sco
690,sco
691,sco
692,sco
693,sco
694,sco
695,sco
696,sco
697,sco
698,sco
699,sco
700,sco
701,sco
702,sco
703,sco
704,sco
705,sco
706,sco
707,sco
708,sco
709,sco
710,sco
711,sco
712,sco
713,sco
714,sco
715,sco
716,sco
717,sco
718,sco
719,sco
720,sco
721,sco
722,sco
723,sco
724,sco
725,sco
726,sco
727,sco
728,sco
729,sco
